"COORD_SYS_CODE","COORD_AXIS_NAME_CODE","COORD_AXIS_ORIENTATION","COORD_AXIS_ABBREVIATION","UOM_CODE","ORDER"
4400,9906,east,E,9001,1
4400,9907,north,N,9001,2
4401,9906,east,E,9062,1
4401,9907,north,N,9062,2
4402,9906,east,E,9042,1
4402,9907,north,N,9042,2
4403,9906,east,E,9005,1
4403,9907,north,N,9005,2
4404,9906,east,E,9094,1
4404,9907,north,N,9094,2
4405,9906,east,E,9041,1
4405,9907,north,N,9041,2
4406,9906,east,X,9036,1
4406,9907,north,Y,9036,2
4407,9906,east,E,9039,1
4407,9907,north,N,9039,2
4408,9906,east,E,9084,1
4408,9907,north,N,9084,2
4409,9906,east,E,9040,1
4409,9907,north,N,9040,2
4495,9906,east,X,9002,1
4495,9907,north,Y,9002,2
4496,9906,east,E(X),9001,1
4496,9907,north,N(Y),9001,2
4497,9906,east,X,9003,1
4497,9907,north,Y,9003,2
4498,9906,east,Y,9001,1
4498,9907,north,X,9001,2
4499,9906,east,X,9001,1
4499,9907,north,Y,9001,2
4500,9906,east,E,9001,2
4500,9907,north,N,9001,1
4501,9907,north,N,9001,1
4501,9908,west,E,9001,2
4530,9906,east,Y,9001,2
4530,9907,north,X,9001,1
4531,9906,east,y,9001,2
4531,9907,north,x,9001,1
4532,9906,east,X,9001,2
4532,9907,north,Y,9001,1
6401,9901,north,Lat,9108,1
6401,9902,east,Long,9108,2
6401,9903,up,h,9001,3
6402,9901,north,Lat,9108,1
6402,9902,east,Long,9108,2
6403,9901,north,Lat,9105,1
6403,9902,east,Long,9105,2
6404,9926,north,lat,9102,1
6404,9927,east,long,9102,2
6404,9928,up,R,9001,3
6497,9904,up,H,9003,1
6498,9905,down,D,9001,1
6499,9904,up,H,9001,1
6500,9910,Geocentre > equator/PM,X,9001,1
6500,9911,Geocentre > equator/90dE,Y,9001,2
6500,9912,Geocentre > north pole,Z,9001,3
6501,9908,west,Y,9001,2
6501,9909,south,X,9001,1
6502,9908,west,Y,9031,1
6502,9909,south,X,9031,2
6503,9908,west,Y,9001,1
6503,9909,south,X,9001,2
6504,9918,north-east,e,9001,2
6504,9919,north-west,n,9001,1
6505,9913,north-west,n,9001,1
6505,9914,north-east,e,9001,2
6506,9913,east-south-east,I,9205,1
6506,9914,north-north-east,J,9204,2
6507,9913,north,X,9001,1
6507,9914,west,Y,9001,2
6508,9920,east south east,I,9208,2
6508,9921,north north east,J,9209,1
6509,9908,west,M,9001,2
6509,9909,south,P,9001,1
