"COORD_OP_CODE","COORD_OP_NAME","COORD_OP_TYPE","SOURCE_CRS_CODE","TARGET_CRS_CODE","COORD_TFM_VERSION","COORD_OP_VARIANT","AREA_OF_USE_CODE","COORD_OP_SCOPE","COORD_OP_METHOD_CODE","UOM_CODE_SOURCE_COORD_DIFF","UOM_CODE_TARGET_COORD_DIFF","REMARKS","INFORMATION_SOURCE","DATA_SOURCE","REVISION_DATE","CHANGE_ID","SHOW_OPERATION","DEPRECATED"
101,deg to DMSH,conversion,,,,,1262,Convert decimal degrees to and from degrees minutes seconds hemisphere representation.,9637,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
102,degH to DMSH,conversion,,,,,1262,Convert degree hemisphere representation to and from degrees minutes seconds hemisphere.,9638,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
103,Hdeg to DMSH,conversion,,,,,1262,Convert hemisphere degree representation to and from degrees minutes seconds hemisphere representation.,9639,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
104,DM to DMSH,conversion,,,,,1262,Convert degree minute representation to and from degrees minutes seconds hemisphere representation.,9640,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
105,DMH to DMSH,conversion,,,,,1262,Convert degree minute hemisphere representation to and from degrees minutes seconds hemisphere representation.,9641,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
106,HDM to DMSH,conversion,,,,,1262,Convert hemisphere degree minute representation to and from degrees minutes seconds hemisphere representation.,9642,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
107,DMS to DMSH,conversion,,,,,1262,Convert degree minute second representation to and from degrees minutes seconds hemisphere representation.,9643,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
108,HDMS to DMSH,conversion,,,,,1262,Convert hemisphere degree minute second representation to and from degrees minutes seconds hemisphere representation.,9644,,,,EPSG,EPSG,2002-11-22 00:00:00,,1,1
1025,ED50 to ED87 (1),transformation,4230,4231,5Nat-NSea-90,1,2330,?,9630,9102,9102,Latitude differences from ED50 to ED87 in decimal degrees given by coefficients A0 through A14 where m=(latitude - 55) degrees and n=longitude in decimal degrees.  Longitude differences given through coefficients B0 through B14.,Norwegian Mapping Authority publication 1990:1,EPSG,2002-06-22 00:00:00,99.74  2000.55 2002.40,1,1
1026,Madrid 1870 (Madrid) to ED50 (1),transformation,4903,4230,IGB-Esp,1,2366,?,9617,,,It is preferable to use whichever of either Madrid 1870 (Madrid) to ED50 (2) (code 1002) or Madrid 1870 (Madrid) to ED50 (3) (code 1003) is applicable to the area.,Institut de Geomatica; Barcelona,EPSG,2003-02-06 00:00:00,99.82  99.74 2003.051,1,0
