"COORD_OP_METHOD_CODE","COORD_OP_METHOD_NAME","REVERSE_OP","FORMULA","EXAMPLE","REMARKS","INFORMATION_SOURCE","DATA_SOURCE","REVISION_DATE","CHANGE_ID","DEPRECATED"
9601,Longitude rotation,1,Target_longitude = Source_longitude + longitude_offset.,,This transformation allows calculation of the longitude of a point in the target system by adding the parameter value to the longitude value of the point in the source system.,EPSG guidance note #7.,EPSG,1999-11-12 00:00:00,99.79,0
9602,Geographic/geocentric conversions,1,"Latitude, P, and Longitude, L, in terms of Geographic Coordinate Reference System A may 
be expressed in terms of a geocentric (earth centred) Cartesian coordinate reference system X, Y, Z 
with the Z axis corresponding with the Polar axis positive northwards, the X axis through 
the intersection of the Greenwich meridian and equator, and the Y axis through the 
intersection of the equator with longitude 90 degrees E. If the prime meridian for geogCRS A is not 
Greewich, longitudes must first be transformed to their Greenwich equivalent. If the earth's 
spheroidal semi major axis is a, semi minor axis  b, and inverse flattening 1/f,  then

   XA=   (nu + hA) cos P cos L
   YA=   (nu + hA) cos P sin L
   ZA=  ((1 - e^2) nu + hA) sin P

where nu is the prime vertical radius of curvature at latitude P and is equal to 
   nu = a /(1 - e^2*sin^2(P))^0.5,
   P and L are respectively the latitude and longitude (related to Greenwich) of the point 
   h is height above the ellipsoid, (topographic height plus geoidal height), and
   e is the eccentricity of the ellipsoid where e^2 = (a^2 -b^2)/a^2 = 2f -f^2
                                                                                                                                                 
Cartesian coordinates in geocentric coordinate reference system B may be used to derive geographical coordinates in terms of geographic coordinate reference system B by:
   P   =  arctan (ZB + e^2* nu*sin P) / (XB^2 + YB^2)^0.5 by iteration
   L   = arctan YB/XB
   hB  =  XB sec L sec P  - nu

where LB is relative to Greenwich. If the geographic system has a non Greenwich prime 
meridian, the Greenwich value of the local prime meridian should be applied to longitude.

(Note that h is the height above the ellipsoid. This is the height value which is 
delivered by Transit and GPS satellite observations but is not the topographic 
height value which is normally used for national mapping and levelling operations. 
The topographic height is usually the height above mean sea level or an alternative 
level reference for the country. If one starts with a topographic height,  it will be 
necessary to convert it to an ellipsoid height before using the above transformation 
formulas. h = N + H, where N is the geoid height above the ellipsoid at the point 
and is sometimes negative, and H is the height of the point above the geoid. The 
height above the geoid is often taken to be that above mean sea level, perhaps with 
a constant correction applied. Geoid heights of points above the nationally used 
ellipsoid may not be readily available. For the WGS84 ellipsoid the value of N, 
representing the height of the geoid relative to the ellipsoid, can vary between 
values of -100m in the Sri Lanka area to +60m in the North Atlantic.)","Consider a North Sea point with coordinates derived by GPS satellite in the WGS 84 geographical coordinate system with coordinates of:

           latitude    53 deg 48 min 33.82 sec N, 
           longitude 02 deg 07 min 46.38 sec E, 
    and ellipsoidal height 73.0m, 

whose coordinates are required in terms of the ED50 geographical coordinate system which takes the International 1924 ellipsoid. The three parameter datum shift from WGS 84 to ED50 for this North Sea area is given as dX = +84.87m, dY = +96.49m, dZ = +116.95m. 

The WGS 84 geographical coordinates convert to the following geocentric values using the above formulas for X, Y, Z:

   XA = 3771 793.97m
   YA =   140 253.34m
   ZA = 5124 304.35m

Applying the quoted datum shifts to these, we obtain new geocentric values now related to ED50:

   XB = 3771 878.84m
   YB =   140 349.83m
   ZB = 5124 421.30m

These convert to ED50 values on the International 1924 ellipsoid as:
           latitude    53 deg 48 min 36.565 sec N, 
           longitude 02 deg 07 min 51.477 sec E, 
    and ellipsoidal height 28.02 m, 

Note that the derived height is referred to the International 1924 ellipsoidal surface and will need a further correction for the height of the geoid at this point in order to relate it to Mean Sea Level.","This is a parameter-less conversion.   It is often concatenated in applications with the 3- or 7-parameter transformations 9603, 9606 and 9607 to form a geographic to geographic transformation.","EPSG guidance note #7 from ""Transformation from spatial to geographical coordinates""; B. R. Bowring; Survey Review number 181; July 1976.",EPSG,2000-06-23 00:00:00,97.29  2002.51,0
9603,Geocentric translations,1,Xt = Xs + dX;  Yt = Ys + dY;  Zt = Zs + dZ,"Given a three parameter datum shift from WGS 84 to ED50 for this North Sea area is given as 
dX = +84.87m, dY = +96.49m, dZ = +116.95m. 

The WGS84 geographical coordinates convert to the following WGS 84 geocentric values using 
the above formulas for X, Y, Z:

   XA = 3771 793.97m
   YA =   140 253.34m
   ZA = 5124 304.35m

Applying the given datum shifts to these, we obtain new geocentric values now related 
to ED50:

   XB = 3771 878.84m
   YB =   140 349.83m
   ZB = 5124 421.30m",This transformation allows calculation of coordinates in the target system by adding the parameter value to the corresponding coordinate values of the point in the source system.,EPSG guidance note #7.,EPSG,1996-09-18 00:00:00,,0
9604,Molodenski,1,See information source.,See information source.,,,EPSG,1996-09-18 00:00:00,,0
9605,Abridged Molodenski,1,"As an alternative to the computation of the new latitude, longitude and height above ellipsoid in discrete steps through geocentric coordinates, the changes in these geographic coordinates may be derived directly by formulas derived by Molodenski. Abridged versions of these formulas, which are quite satisfactory for three parameter transformations, are as follows:

dlat "" = [(-dX*sin(lat)*cos(lon)) - (dY*sin(lat)*sin(lon)) + (dZ*cos(lat)) + (((a*Df) + (f*Da))*sin(2*lat))] / (rho * sin(1""))

dlon "" = (-dX*sin(lon) + dY*cos(lon)) / ((nu*cos(lat)) * sin(1""))

dh = (dX*cos(lat)*cos(lon)) + (dY*cos(lat)*sin(lon)) + (dZ*sin(lat)) + ((a*Df + f*Da)*(sin(lat)^2)) - da

where the dX, dY and dZ terms are as before, and rho and nu are the meridian and prime vertical radii of curvature at the given latitude (lat) on the first ellipsoid, da is the difference in the semi-major axes (a1 - a2) of the first and second ellipsoids and df  is the difference in the flattening of the two ellipsoids.

The formulas for dlat and dlon indicate changes in latitude and longitude in arc-seconds.","For a North Sea point with coordinates derived by GPS satellite in the WGS84 geographical coordinate reference system, with coordinates of:
           latitude lat_s                =53°48'33.82""N, 
           longitude lon_s             = 2°07'46.38""E, 
    and ellipsoidal height h_s = 73.0m, 

whose coordinates are required in terms of the ED50 geographical coordinate reference system which takes the International 1924 ellipsoid. 

The three geocentric translations parameter values from WGS84 to ED50 for this North Sea area are given as dX = +84.87m, dY = +96.49m, dZ = +116.95m. 
Ellipsoid Parameters are:
WGS 1984             a = 6378137.0 metres    1/f = 298.2572236
International 1924  a = 6378388.0 metres    1/f = 297.0

Then
da = 6378137 – 6378388 = –251
df = 0.003352811 - 0.003367003 = -1.41927E-05
whence
dlat  = 2.545""
dlon  = 5.097""
dh   =  – 44.98 m

ED50 values on the International 1924 ellipsoid are then:
           latitude lat_t                 = 53°48'36.565""N, 
           longitude  lon_t             =  2°07'51.477""E, 
    and ellipsoidal height h_t  = 28.02 m.","This transformation is a truncated Taylor series expansion of a transformation between two geographic coordinate systems, modelled as a set of geocentric translations.",EPSG guidance note #7.,EPSG,1999-04-22 00:00:00,99.01,0
9606,Position Vector 7-param. transformation,1,"Transformation of coordinates from one geographic coordinate reference system into another (also known as a ""datum transformation"") is usually carried out as an implicit concatenation of three transformations:
[geographical to geocentric >> geocentric to geocentric >> geocentric to geographic]

The middle part of the concatenated transformation, from geocentric to geocentric, is usually described as a simplified 7-parameter Helmert transformation, expressed in matrix form with 7 parameters, in what is known as the ""Bursa-Wolf"" formula:

   (Xt)             (  1       -Rz    +Ry)      (Xs)     (dX)
   (Yt)  =  M *  ( +Rz      1      -Rx)  *  (Ys)  + (dY)
   (Zt)              ( -Ry   +Rx       1 )      (Zs)      (dZ)

The parameters are commonly referred to defining the transformation ""from source coordinate reference system to target coordinate reference system"", whereby (Xs, Ys, Zs) are the coordinates of the point in the source geocentric coordinate reference system and (Xt, Yt, Zt) are the coordinates of the point in the target geocentric coordinate reference system.  But that does not define the parameters uniquely; neither is the definition of the parameters implied in the formula, as is often believed.  However, the following definition, which is consistent with the “Position Vector Transformation” convention is common E&P survey practice, 

(dX, dY, dZ)   :Translation vector, to be added to the point's position vector in the source coordinate reference system in order to transform from source system to target system; also: the coordinates of the origin of the source coordinate reference system in the target coordinate reference system.

(Rx, Ry, Rz)   :Rotations to be applied to the point's vector.  The sign convention is such that a positive rotation about an axis is defined as a clockwise rotation of the position vector when viewed from the origin of the Cartesian coordinate reference system in the positive direction of that axis; e.g. a positive rotation about the Z-axis only from source system to target system will result in a larger longitude value for the point in the target system.  Although rotation angles may be quoted in any angular unit of measure, the formula as given here requires the angles to be provided in radians.

M                  :The scale correction to be made to the position vector in the source coordinate reference system in order to obtain the correct scale in the target coordinate reference system. M = (1 + dS*10^-6), where dS is the scale correction expressed in parts per million. 

<<<<<This text continues in the description of the Coordinate Frame Rotation formula>>>>>","Input point: 
Coordinate reference system: WGS 72 (geographic 3D)
  Latitude =   55 deg 00 min 00 sec 
  Longitude =  4 deg 00 min 00 sec 
  Ellipsoidal height =  0 m

This transforms to Cartesian geocentric coords:
    X = 3 657 660.66 (m)  
    Y =    255 768.55 (m)
    Z = 5 201 382.11 (m)

Transformation parameters WGS 72 to WGS 84:
   dX (m) = 0.000 
   dY (m) = 0.000 
   dZ (m) = +4.5
   RX ("") = 0.000 
   RY ("") = 0.000
   RZ ("") = +0.554
   Scale (ppm) = +0.219

Application of the 7 parameter Position Vector Transformation results in WGS 84 coordinates of:
   X = 3 657 660.78 (m)
   Y =    255 778.43 (m)
   Z = 5 201 387.75 (m)

This converts into:
   Latitude =   55 deg 00 min 00.090 sec
   Longitude =  4 deg 00 min 00.554 sec
   Ellipsoidal height =  +3.22 m
on the WGS 84 geographic 3D coordinate reference system.",Note the analogy with the Coordinate Frame Rotation (code 9607) but beware of the differences!  The Position Vector convention is used by IAG and recommended by ISO 19111.,EPSG guidance note #7.,EPSG,1996-09-18 00:00:00,98.16,0
9607,Coordinate Frame rotation,1,"<<<<<This text is continued from the description of the Position Vector Transformation formula>>>>>

Although being common practice particularly in the European E&P industry, the Position Vector Transformation sign convention is not universally accepted.  A variation on this formula is also used, particularly in the USA E&P industry.  That formula is based on the same definition of translation and scale parameters, but a different definition of the rotation parameters.  The associated convention is known as the ""Coordinate Frame Rotation"" convention (EPSG coordinate operation method code 9607). 
The formula is:

   (X’)             (  1      +Rz      -Ry)     (X)      (dX)
   (Y’)  =  M *  ( -Rz       1      +Rx)  * (Y)  +  (dY)
   (Z’)              ( +Ry   -Rx        1 )     (Z)       (dZ)

and the parameters are defined as:

(dX, dY, dZ)   : Translation vector, to be added to the point's position vector in the source coordinate reference system in order to transform from source coordinate reference system to target coordinate reference system; also: the coordinates of the origin of source coordinate reference system in the target frame.

(Rx, Ry, Rz)   : Rotations to be applied to the coordinate reference frame.  The sign convention is such that a positive rotation of the frame about an axis is defined as a clockwise rotation of the coordinate reference frame when viewed from the origin of the Cartesian coordinate reference system in the positive direction of that axis, that is a positive rotation about the Z-axis only from source coordinate reference system to target coordinate reference system will result in a smaller longitude value for the point in the target coordinate reference system. Although rotation angles may be quoted in any angular unit of measure, the formula as given here requires the angles to be provided in radians.

M                  : The scale factor to be applied to the position vector in the source coordinate reference system  in order to obtain the correct scale of the target coordinate reference system. M = (1+dS*10^-6), where dS is the scale correction expressed in parts per million.

In the absence of rotations the two formulas are identical; the difference is solely in the rotations. The name of the second method reflects this.

Note that the same rotation that is defined as positive in the first method is consequently negative in the second and vice versa.  It is therefore crucial that the convention underlying the definition of the rotation parameters is clearly understood and is communicated when exchanging datum transformation parameters, so that the parameters may be associated with the correct coordinate transformation method (algorithm).","The same example as for the Position Vector Transformation (coordinate operation method 9606) can be calculated, however the following transformation parameters have to be applied to achieve the same input and output in terms of coordinate values:

Transformation parameters Coordinate Frame Rotation convention:
dX (m) = 0.000 
dY (m) = 0.000 
dZ (m) = +4.5 
RX ("") = 0.000
RY ("") = 0.000
RZ ("") = -0.554
Scale (ppm) = +0.219

Please note that only the rotation has changed sign as compared to the Position Vector Transformation.",Note the analogy with the Position Vector transformation (code 9606) but beware of the differences!  The Position Vector convention is used by IAG and recommended by ISO 19111.,EPSG guidance note #7.,EPSG,1996-09-18 00:00:00,,0
9613,NADCON,1,See information source.,,Geodetic transformation operating on geographic coordinate differences by bi-linear interpolation.  Input expects longitudes to be positive west.,US Coast and geodetic Survey - http://www.ngs.noaa.gov,EPSG,1996-09-18 00:00:00,,0
9614,NTv1,1,See information source.,,Geodetic transformation operating on geographic coordinate differences by bi-linear interpolation.  Superseded in 1997 by NTv2 (transformation method code 9615).   Input expects longitudes to be positive west.,Geomatics Canada - Geodetic Survey Division.,EPSG,1997-11-13 00:00:00,,0
9615,NTv2,1,See information source.,,Geodetic transformation operating on geographic coordinate differences by bi-linear interpolation.  Supersedes  NTv1 (transformation method code 9614).  Input expects longitudes to be positive west.,http://www.geod.nrcan.gc.ca/products/html-public/GSDapps/English/NTv2_Fact_Sheet.html,EPSG,1997-11-13 00:00:00,,0
