"COORD_OP_CODE","COORD_OP_METHOD_CODE","PARAMETER_CODE","PARAMETER_VALUE","PARAM_VALUE_FILE_REF","UOM_CODE"
1025,9630,8617,55.0,,9102
1025,9630,8618,0.0,,9102
1025,9630,8623,-0.00000556098,,9203
1025,9630,8624,-0.00000155391,,9203
1025,9630,8625,-0.00000040262,,9203
1025,9630,8626,-0.000000509693,,9203
1025,9630,8627,-0.000000819775,,9203
1025,9630,8628,-0.000000247592,,9203
1025,9630,8629,0.000000136682,,9203
1025,9630,8630,0.000000186198,,9203
1025,9630,8631,0.00000012335,,9203
1025,9630,8632,0.0000000568797,,9203
1025,9630,8633,-0.00000000232217,,9203
1025,9630,8634,-0.00000000769931,,9203
1025,9630,8635,-0.00000000786953,,9203
1025,9630,8636,-0.00000000612216,,9203
1025,9630,8637,-0.00000000401382,,9203
1025,9630,8639,0.0000148944,,9203
1025,9630,8640,0.00000268191,,9203
1025,9630,8641,0.0000024529,,9203
1025,9630,8642,0.0000002944,,9203
1025,9630,8643,0.0000015226,,9203
1025,9630,8644,0.000000910592,,9203
1025,9630,8645,-0.000000382241,,9203
1025,9630,8646,-0.000000851732,,9203
1025,9630,8647,-0.000000566713,,9203
1025,9630,8648,-0.000000185188,,9203
1025,9630,8649,0.0000000284312,,9203
1025,9630,8650,0.0000000684853,,9203
1025,9630,8651,0.0000000500828,,9203
1025,9630,8652,0.0000000415937,,9203
1025,9630,8653,0.00000000762236,,9203
1026,9617,8623,8.4386918,,9203
1026,9617,8624,-0.0972,,9203
1026,9617,8625,-0.03672,,9203
1026,9617,8626,0.0000406,,9203
1026,9617,8638,-13276.58,,9104
1026,9617,8639,2.6620443,,9203
1026,9617,8640,0.07992,,9203
1026,9617,8641,-0.0036,,9203
1026,9617,8642,-0.0000109,,9203
1027,9617,8623,11.328779,,9203
1027,9617,8624,-0.1674,,9203
1027,9617,8625,-0.03852,,9203
1027,9617,8626,0.0000379,,9203
1027,9617,8638,-13276.58,,9104
1027,9617,8639,2.5079425,,9203
1027,9617,8640,0.08352,,9203
1027,9617,8641,-0.00864,,9203
1027,9617,8642,-0.0000038,,9203
1028,9617,8623,6.2280987,,9203
1028,9617,8624,-0.03924,,9203
1028,9617,8625,-0.03276,,9203
1028,9617,8626,0.0000284,,9203
1028,9617,8638,-13276.58,,9104
1028,9617,8639,2.9368989,,9203
1028,9617,8640,0.07272,,9203
1028,9617,8641,0.00216,,9203
