coord_sys_code,coord_sys_name,coord_sys_type,dimension,remarks,information_source,data_source,revision_date,change_id,deprecated
4400,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4401,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: chBnB.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4402,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: chSe.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4403,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ftCla.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4404,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ftGC.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4405,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ftSe.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4406,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: km.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4407,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: lkCla.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4408,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ydInd.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4409,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: ydSe.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4410,"Cartesian 2D CS.  Axes: easting, northing (E,N). Orientations: east, north.  UoM: chSe(T).",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2006-07-24,,0
4462,"Cartesian 2D CS for north polar azimuthal lonO 90 deg E.  Axes: X,Y. Orientations: X along 180 deg, Y along 90 deg West meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2007-01-20,,0
4463,"Cartesian 2D CS for north polar azimuthal lonO 10 deg E.  Axes: X,Y. Orientations: X along 100 deg East, Y along 170 deg West meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2007-01-20,,0
4464,"Cartesian 2D CS for north polar azimuthal lonO 180 deg.  Axes: X,Y. Orientations: X along 90 deg West, Y along 0 deg meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2007-01-20,,0
4465,"Cartesian 2D CS for north polar azimuthal lonO 40 deg W.  Axes: X,Y. Orientations: X along 50 deg East, Y along 140 deg East meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2007-01-20,,0
4466,"Cartesian 2D CS for north polar azimuthal lonO 100 deg W.  Axes: X,Y. Orientations: X along 10 deg West, Y along 80 deg East meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2007-01-20,,0
