"ELLIPSOID_CODE","ELLIPSOID_EPSG_NAME","ELLIPSOID_USER_NAME","SEMI_MAJOR_AXIS","UOM_LENGTH_CODE","INV_FLATTENING","SEMI_MINOR_AXIS","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
7001,Airy 1830,,6377563.396,9001,299.32496,,1995-06-02 00:00:00,,EPSG,Original definition of a and b in feet. OSGB defines 1/f to 7 d.p.,
7002,Airy Modified 1849,,6377340.189,9001,299.32496,,1995-06-02 00:00:00,,EPSG,,
7003,Australian National Spheroid,,6378160.0,9001,298.25,,1995-06-02 00:00:00,National Mapping Council of Australia Special Publication #7; 1972.,EPSG,Australian Map Grid Technical Manual.,
7004,Bessel 1841,,6377397.155,9001,299.15281,,1995-06-02 00:00:00,,EPSG,,
7005,Bessel Modified,,6377492.018,9001,299.15281,,1995-06-02 00:00:00,,EPSG,,
7006,Bessel Namibia,,6377483.865,9001,299.15281,,1997-06-16 00:00:00,,EPSG,a = 6377397.155 German legal metres,97.16
7007,Clarke 1858,,20926348.0,9005,,20855233.0,1995-06-02 00:00:00,"\"Ellipsoidisch Parameter der Erdfigur (1800-1950)\" by Georg Strasser.",EPSG,Clarke 1858/II solution. Derived parameters: a = 6378293.639m; 1/f = 294.26068,
7008,Clarke 1866,,6378206.4,9001,,6356583.8,1995-06-02 00:00:00,US Army Map Service Technical Manual No. 7; 1943.,EPSG,Uses Benoit 1896 foot-metre ratio. Derived parameter: 1/f = 294.97870,
7009,Clarke 1866 Michigan,,20926631.53,9003,,20855688.67,1995-06-02 00:00:00,USGS Professional Paper #1395.,EPSG,Used for Michigan NAD27 State Plane zones.  Radius = ellipsoid radius + 800 feet; this approximates the average elevation of the state.   Derived parameter: 1/f = 294.97870,98.22
7010,Clarke 1880 (Benoit),,6378300.79,9001,,6356566.43,1995-06-02 00:00:00,,EPSG,Uses Benoit 1896 inch-metre ratio. Derived parameter: 1/f = 293.46623,
7011,Clarke 1880 (IGN),,6378249.2,9001,,6356515.0,1998-04-16 00:00:00,,EPSG,,98.12
7012,Clarke 1880 (RGS),,6378249.145,9001,293.465,,1995-06-02 00:00:00,,EPSG,Also known as Clarke Modified 1880.,
7013,Clarke 1880 (Arc),,6378249.145,9001,293.46631,,1995-06-02 00:00:00,,EPSG,,
7014,Clarke 1880 (SGA 1922),,6378249.2,9001,293.46598,,1995-06-02 00:00:00,,EPSG,Used in Old French Triangulation (ATF).,
7015,Everest 1830 (1937 Adjustment),,6377276.345,9001,300.8017,,1996-10-18 00:00:00,Survey of India professional paper #28; 1939,EPSG,Used for the 1937 adjustment of Indian triangulation.  Applies Benoit 1898 inch-metre ratio to Everest original definition taken as 20929231.8 Indian feet.,96.20
7016,Everest 1830 (1967 Definition),,6377298.556,9001,300.8017,,1995-06-02 00:00:00,,EPSG,Adopted 1967 for use in East Malaysia.  Applies Sears 1928 inch-metre ratio to Everest original definition taken as 20922931.8 British feet.,
7017,Everest 1830 (1975 Definition),,6377301.243,9001,,6356100.231,1995-06-02 00:00:00,,EPSG,Used by Surveys of India and Pakistan since 1975.   Derived parameter: 1/f = 300.80174,
7018,Everest 1830 Modified,,6377304.063,9001,300.8017,,1995-06-02 00:00:00,,EPSG,Adopted 1967 for use in West Malaysia.  Applies Benoit 1898 inch-metre ratio to Everest original definition taken as 20929231.8 British feet.,
7019,GRS 1980,,6378137.0,9001,298.257222101,,1998-11-11 00:00:00,"\"Geodetic Reference System 1980\" by H. Moritz; Bulletin Geodesique",EPSG,Adopted by IUGG 1979 Canberra.  Inverse flattening is derived from geocentric gravitational constant GM = 3986005e8 m*m*m/s/s; dynamic form factor J2 = 108263e8 and Earth's angular velocity = 7292115e-11 rad/s.,98.11  98.32
7020,Helmert 1906,,6378200.0,9001,298.3,,1995-06-02 00:00:00,"\"Ellipsoidisch Parameter der Erdfigur (1800-1950)\" by Georg Strasser",EPSG,Helmert 1906/III solution.,
7021,Indonesian National Spheroid,,6378160.0,9001,298.247,,1995-06-02 00:00:00,,EPSG,,
7022,International 1924,,6378388.0,9001,297.0,,1995-06-02 00:00:00,,EPSG,Adopted by IUGG 1924 in Madrid. Based on Hayford 1909/1910 figures.,
7024,Krassowsky 1940,,6378245.0,9001,298.3,,1995-06-02 00:00:00,,EPSG,,
7025,NWL 9D,,6378145.0,9001,298.25,,1995-06-02 00:00:00,,EPSG,Used by Transit Precise Ephemeris between October 1971 and January 1987.,
7026,NWL 10D,,6378135.0,9001,298.26,,1995-06-02 00:00:00,,EPSG,Used by Transit Broadcast Ephemeris before 1989. Also referred to as WGS72 spheroid.,
