"COORD_TRF_CODE","COORD_TRF_EPSG_NAME","COORD_TRF_EPSG_ABBR","COORD_TRF_USER_NAME","DESCRIPTION","AREA_OF_USE","COORD_TRF_METHOD_CODE","PARAMETER_1","PARAMETER_2","PARAMETER_3","PARAMETER_4","PARAMETER_5","PARAMETER_6","PARAMETER_7","UOM_LENGTH_CODE","UOM_ANGLE_CODE","PRIME_MERIDIAN_CODE","UOM_SCALE_CODE","PARAMETER_35","PARAMETER_36","PARAMETER_37","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
1100,Adindan to WGS 84 (1),,,,MEAN FOR Ethiopia; Sudan,9603,-166.0,-15.0,204.0,204.0,204.0,204.0,204.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1101,Adindan to WGS 84 (2),,,,Burkina Faso,9603,-118.0,-14.0,218.0,218.0,218.0,218.0,218.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1102,Adindan to WGS 84 (3),,,,Cameroon,9603,-134.0,-2.0,210.0,210.0,210.0,210.0,210.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1103,Adindan to WGS 84 (4),,,,Ethiopia,9603,-165.0,-11.0,206.0,206.0,206.0,206.0,206.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1104,Adindan to WGS 84 (5),,,,Mali,9603,-123.0,-20.0,220.0,220.0,220.0,220.0,220.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1105,Adindan to WGS 84 (6),,,,Senegal,9603,-128.0,-18.0,224.0,224.0,224.0,224.0,224.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1106,Adindan to WGS 84 (7),,,,Sudan,9603,-161.0,-14.0,205.0,205.0,205.0,205.0,205.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1107,Afgooye to WGS 84 (1),,,,Somalia,9603,-43.0,-163.0,45.0,45.0,45.0,45.0,45.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1108,AGD66 to WGS 84 (1),,,,Australia,9603,-133.0,-48.0,148.0,148.0,148.0,148.0,148.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
1109,AGD84 to WGS 84 (1),,,,Australia,9603,-134.0,-48.0,149.0,149.0,149.0,149.0,149.0,9001,9001,9001,9001,,,,1996-10-18 00:00:00,U.S. Defense Mapping Agency  TR8350.2 December 1987,EPSG,,
