Geographic,Geog.,Area,Geodetic,Geodetic Datum Name,Geodetic,Ellipsoid,Ellipsoid,Prime,Prime,Information Source,Geodetic Datum Remarks,Geographic,Revision,Datum,Datum,GeogCS
C.S.,C.S.,of Use,Datum,,Datum,Code,Name,Meridian,Meridian,,(including Fundamental Point data),Coordinate System,Date,Name,Abbr,Name
Name,Code,,Code,,Abbreviation,,,Code,Name,,,Remarks,,Length,Length,Length
,,,,,,,,,,,,,,,,
Adindan,4201,Ethiopia                                              Sudan,6201,Adindan,,7012,Clarke 1880 (RGS),8901,Greenwich,,Fundamental Point: Station 15; Adindan. Latitude: 22Deg 10Min  7.110Sec N; Longitude: 31Deg 29Min 21.608Sec E (of Greenwich).,,02-Jun-95,7,0,7
Afgooye,4205,Somalia,6205,Afgooye,,7024,Krassowsky 1940 ,8901,Greenwich,,,,02-Jun-95,7,0,7
Agadez,4206,Niger,6206,Agadez,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,6,0,6
AGD66,4202,Australia                                          Papua New Guinea,6202,Australian Geodetic Datum 1966,AGD66,7003,Australian National Spheroid,8901,Greenwich,Australian Map Grid Technical Manual. National Mapping Council of Australia Technical Publication 7; 1972.,Fundamental Point: Johnson Memorial. Latitude: 25Deg 56Min 54.551Sec S; Longitude: 133Deg 12Min 30.077Sec E (of Greenwich).,,02-Jun-95,abbr req (30),5,5
AGD84,4203,Australia                                          Papua New Guinea,6203,Australian Geodetic Datum 1984,AGD84,7003,Australian National Spheroid,8901,Greenwich,,,,02-Jun-95,abbr req (30),5,5
Ain el Abd,4204,Kuwait                                                 Saudi Arabia,6204,Ain el Abd 1970,Ain el Abd,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Ain El Abd,,02-Jun-95,15,10,10
Amersfoort,4289,Netherlands - onshore,6289,Amersfoort,,7004,Bessel 1841 ,8901,Greenwich,,Fundamental Point: Amersfoort. Latitude: 52Deg  9Min 22.178Sec N; Longitude: 5Deg 23Min 15.478Sec E (of Greenwich).,,02-Jun-95,10,0,10
Aratu,4208,Brazil - coastal areas south of 2 deg 55 min S.,6208,Aratu,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,5,0,5
Arc 1950,4209,Africa - south,6209,Arc 1950,,7013,Clarke 1880 (Arc),8901,Greenwich,,Fundamental Point: Buffelsfontein. Latitude: 33Deg 59Min 32.000Sec S; Longitude: 25Deg 30Min 44.622Sec E (of Greenwich).,,02-Jun-95,8,0,8
Arc 1960,4210,Africa - south and east,6210,Arc 1960,,7012,Clarke 1880 (RGS),8901,Greenwich,,Fundamental Point: Buffelsfontein. Latitude: 33Deg 59Min 32.000Sec S; Longitude: 25Deg 30Min 44.622Sec E (of Greenwich).,,02-Jun-95,8,0,8
ATF (Paris),4901,France,6901,Ancienne Triangulation Francaise,ATF,7027,Plessis 1817,8903,Paris,,,Angle units: grads.,02-Jun-95,abbr req (32),3,11
Barbados,4212,Barbados,6212,Barbados,,7012,Clarke 1880 (RGS),8901,Greenwich,,,,02-Jun-95,8,0,8
