Prime,Prime,Prime Meridian,Information Source,Remarks,Revision
Meridian,Meridian,Greenwich Value,,,Date
Name,Code,,,,
,,,,,
Bern,8907,7 deg 26 min 22.5 sec E,Schweizerisches Landesverwessungs Amt,New value of 7 deg 26 min 22.335 sec E determined in 1938.,02-Jun-95
Bogota,8904,74 deg 4 min 51.3 sec W,"Instituto Geografico ""Augustin Cadazzi"" (IGAC); Bogota",,02-Jun-95
Brussels,8910,4 deg 22 min 4.71 sec E,,,02-Jun-95
Ferro,8909,17 deg 40 min 0 sec W,,Used in Austria and former Czechoslovakia.,02-Jun-95
Greenwich,8901,0 deg 0 min 0 sec E,,,02-Jun-95
Jakarta,8908,106 deg 48 min 27.79 sec E,,,02-Jun-95
Lisbon,8902,9 deg 7 min 54.862 sec W,Instituto Geografico e Cadastral; Lisbon,,02-Jun-95
Madrid,8905,3 deg 41 min 16.58 sec W,,,02-Jun-95
Paris,8903,2.5969213 grads E,Institut Geographique National (IGN); Paris,Value adopted by IGN (Paris) in 1936. Equivalent to 2 deg 20min 14.025sec. Supercedes earlier value of 2deg 20min 13.95sec (2.596898 grads) used by RGS London.,02-Jun-95
Rome,8906,12 deg 27 min 8.4 sec E,,,02-Jun-95
Stockholm,8911,18 deg 3 min 29.8 sec E,,,02-Jun-95
,8912,,,,
