Map Projection,Map Projection,Map,Map Projection Zone,Information,Remarks,Revision,Coordinate,Projection,Projection,Proj. Param,Proj. Param,Prime,Longitude,Latitude,Scale, False, False,Latitude of,Latitude of,Latitude of False Origin,Longitude of False Origin,Easting at,Northing at,Latitude of,Longitude of,Easting at,Northing at,Azimuth of Initial Line,Scale Factor,,Proj Zone,Zone,Old Map
Zone,Zone,Projection,Area of Use,Source,,Date,Transformation,Linear Unit,Linear Unit,Angle Unit,Angle Unit,Meridian for,of,of,Factor,Easting,Northing,1st Standard Parallel,2nd Standard Parallel,,,False Origin,False Origin,Projection Centre,Projection Centre,Projection,Projection,at Projection Centre,at,,Name,Abbr,Projection
,Abbreviation,Zone Code,,,,,Method,Code,Name,code,name,Long. of Orig.,Origin,Origin,at Origin,,,,,,,,,,,Centre,Centre,,Proj. Centre,,Length,Length,Code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nord Algerie (ancienne),,18011,Algeria north of 38.5g (34 deg 39 min) N,,Used with Voirol 1875 datum - now superceded.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,3 g E,40 g N,0.9996255,500000,300000,,,,,,,,,,,,,,23,0,P0437
Sud Algerie (ancienne),,18012,Algeria 35g to 38.5g (31 deg 30 min to 34 deg 39 min) N,,Used with Voirol 1875 datum - now superceded.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,3 g E,37 g N,0.9996258,500000,300000,,,,,,,,,,,,,,22,0,P0439
Nord Algerie,,18021,Algeria north of 38.5g (34 deg 39 min) N,,Use with Voirol Unifie 1960 datum.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,3 g E,40 g N,0.9996255,500135,300090,,,,,,,,,,,,,,12,0,P0438
Sud Algerie,,18022,Algeria 35g to 38.5g (31 deg 30 min to 34 deg 39 min) N,,Use with Voirol Unifie 1960 datum.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,3 g E,37 g N,0.9996258,500135,300090,,,,,,,,,,,,,,11,0,P0440
Argentina zone 1,Argentina 1,18031,Argentina west of 70 deg 30 min W,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,72deg  0min  0.000sec W,90deg  0min  0.000sec S,1.0000000,1500000,0,,,,,,,,,,,,,,16,11,P0477
Argentina zone 2,Argentina 2,18032,Argentina between 70 deg 30 min and 67 deg 30 min W,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,69deg  0min  0.000sec W,90deg  0min  0.000sec S,1.0000000,2500000,0,,,,,,,,,,,,,,16,11,P0478
Argentina zone 3,Argentina 3,18033,Argentina between 67 deg 30 min and 64 deg 30 min W,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,66deg  0min  0.000sec W,90deg  0min  0.000sec S,1.0000000,3500000,0,,,,,,,,,,,,,,16,11,P0479
Argentina zone 4,Argentina 4,18034,Argentina between 64 deg 30 min and 61 deg 30 min W,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,63deg  0min  0.000sec W,90deg  0min  0.000sec S,1.0000000,4500000,0,,,,,,,,,,,,,,16,11,P0480
Argentina zone 5,Argentina 5,18035,Argentina between 61 deg 30 min and 58 deg 30 min W,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,60deg  0min  0.000sec W,90deg  0min  0.000sec S,1.0000000,5500000,0,,,,,,,,,,,,,,16,11,P0481
Argentina zone 6,Argentina 6,18036,Argentina between 58 deg 30 min and 55 deg 30 min W,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,57deg  0min  0.000sec W,90deg  0min  0.000sec S,1.0000000,6500000,0,,,,,,,,,,,,,,16,11,P0482
