area_code,area_name,area_of_use,area_south_bound_lat,area_north_bound_lat,area_west_bound_lon,area_east_bound_lon,area_polygon_file_ref,iso_a2_code,iso_a3_code,iso_n_code,remarks,information_source,data_source,revision_date,change_id,deprecated
1024,Afghanistan,Afghanistan.,29.4,38.48,60.5,74.92,urn:ogc:def:extent-polygon:EPSG::1024,AF,AFG,4,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2012.040 2014.025,0
1025,Albania,Albania - onshore and offshore.,39.63,42.67,18.46,21.06,urn:ogc:def:extent-polygon:EPSG::1025,AL,ALB,8,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1026,Algeria,Algeria - onshore and offshore.,18.97,38.8,-8.67,11.99,urn:ogc:def:extent-polygon:EPSG::1026,DZ,DZA,12,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1027,American Samoa,American Samoa - onshore and offshore.,-17.56,-10.02,-173.75,-165.2,urn:ogc:def:extent-polygon:EPSG::1027,AS,ASM,16,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/07/27,2002.341 2005.890 2011.068,0
1028,Andorra,Andorra.,42.43,42.66,1.42,1.79,urn:ogc:def:extent-polygon:EPSG::1028,AD,AND,20,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2011.095 2014.025,0
1029,Angola,Angola - onshore and offshore.,-18.02,-4.38,8.2,24.09,urn:ogc:def:extent-polygon:EPSG::1029,AO,AGO,24,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.042 2014.025,0
1030,Anguilla,Anguilla - onshore and offshore.,17.94,21.93,-63.9,-60.68,urn:ogc:def:extent-polygon:EPSG::1030,AI,AIA,660,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1031,Antarctica,Antarctica.,-90,-60,-180,180,urn:ogc:def:extent-polygon:EPSG::1031,AQ,ATA,10,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2002/06/22,2002.341,0
1032,Antigua and Barbuda,"Antigua and Barbuda - Antigua, Barbuda and Redonda.",16.61,20.88,-62.76,-58.37,urn:ogc:def:extent-polygon:EPSG::1032,AG,ATG,28,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1033,Argentina,Argentina - onshore and offshore.,-58.41,-21.78,-73.59,-52.63,urn:ogc:def:extent-polygon:EPSG::1033,AR,ARG,32,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.037 2014.025,0
1034,Armenia,Armenia.,38.84,41.3,43.45,46.63,urn:ogc:def:extent-polygon:EPSG::1034,AM,ARM,51,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2011.095 2014.025,0
1035,Aruba,Aruba - onshore and offshore.,12.14,15.42,-70.42,-69.31,urn:ogc:def:extent-polygon:EPSG::1035,AW,ABW,533,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.037 2014.025,0
1036,Australia - onshore and EEZ,"Australia - onshore and offshore to 200 nautical mile EEZ boundary. Includes Lord Howe Island, Ashmore and Cartier Islands.",-47.2,-8.88,109.23,163.2,urn:ogc:def:extent-polygon:EPSG::1036,,,,,OGP,OGP,2014/02/15,2002.341 2005.890 2012.027 2014.005,0
1037,Austria,Austria.,46.4,49.02,9.53,17.17,urn:ogc:def:extent-polygon:EPSG::1037,AT,AUT,40,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2014.025,0
1038,Azerbaijan,Azerbaijan - onshore and offshore.,37.89,42.59,44.77,51.73,urn:ogc:def:extent-polygon:EPSG::1038,AZ,AZE,31,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1039,Bahamas,Bahamas - onshore and offshore.,20.36,30.36,-81.22,-70.63,urn:ogc:def:extent-polygon:EPSG::1039,BS,BHS,44,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1040,Bahrain,Bahrain - onshore and offshore.,25.53,27.17,50.26,51.13,urn:ogc:def:extent-polygon:EPSG::1040,BH,BHR,48,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.051 2014.025,0
1041,Bangladesh,Bangladesh - onshore and offshore.,18.56,26.63,88.04,92.67,urn:ogc:def:extent-polygon:EPSG::1041,BD,BGD,50,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.040 2012.062 2014.025,0
1042,Barbados,Barbados - onshore and offshore.,10.68,16,-60.39,-55.99,urn:ogc:def:extent-polygon:EPSG::1042,BB,BRB,52,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1043,Belarus,Belarus.,51.25,56.17,23.16,32.75,urn:ogc:def:extent-polygon:EPSG::1043,BY,BLR,112,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2011.095 2014.025,0
1044,Belgium,Belgium - onshore and offshore.,49.5,51.88,2.23,6.4,urn:ogc:def:extent-polygon:EPSG::1044,BE,BEL,56,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1045,Belize,Belize - onshore and offshore.,15.88,18.49,-89.22,-86.11,urn:ogc:def:extent-polygon:EPSG::1045,BZ,BLZ,84,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1046,Benin,Benin - onshore and offshore.,2.99,12.4,0.77,3.86,urn:ogc:def:extent-polygon:EPSG::1046,BJ,BEN,204,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
